Wheel Speed,RPM,Gear,Angle,Throttle,Braking,Clutch,Temp,X,Y
7.576886,0.3992452,1,-1.167629,0,0,0.7984903,43.0485,-1610.92,3168.283
7.556858,0.3867534,1,-0.9614981,0,0,0.7735068,43.13793,-1611.042,3168.371
7.496608,0.3700414,1,-0.8210886,0,0,0.7400829,43.21177,-1611.143,3168.443
7.45515,0.3542691,1,-0.7078578,0,0,0.7085383,43.28141,-1611.238,3168.511
7.436628,0.3382111,1,-0.6084173,0,0,0.6764222,43.35225,-1611.334,3168.58
7.400726,0.3223757,1,-0.5240868,0,0,0.6447514,43.42204,-1611.428,3168.647
7.37044,0.3062973,1,-0.4502889,0,0,0.6125946,43.49284,-1611.523,3168.716
7.33799,0.2905578,1,-0.3881835,0,0,0.5811156,43.5621,-1611.616,3168.782
7.305091,0.2745861,1,-0.3330251,0,0,0.5491722,43.63336,-1611.712,3168.851
7.273325,0.2590382,1,-0.2864904,0,0,0.5180763,43.70333,-1611.805,3168.918
7.240072,0.2443159,1,-0.2459984,0,0,0.4886318,43.77401,-1611.899,3168.985
7.211089,0.2305065,1,-0.2110249,0,0,0.461013,43.84501,-1611.993,3169.053
7.182481,0.2173947,1,-0.1812531,0,0,0.4347895,43.91537,-1612.086,3169.12
7.155697,0.2060598,1,-0.1540286,0,0,0.4121197,43.99017,-1612.184,3169.19
7.116471,0.2,1,-0.131607,0,0,0.4,44.06256,-1612.279,3169.259
7.102188,0.2,1,-0.1124553,0,0,0.4,44.13482,-1612.373,3169.326
7.078483,0.2,1,-0.09421437,0,0,0.4,44.21525,-1612.478,3169.402
7.032118,0.2,1,-0.08127479,0,0,0.4,44.28325,-1612.566,3169.465
7.015334,0.2,1,-0.06993794,0,0,0.4,44.35221,-1612.655,3169.529
6.987947,0.2,1,-0.05924442,0,0,0.4,44.4277,-1612.752,3169.599
6.939046,0.2,1,-0.05096807,0,0,0.4,44.49657,-1612.84,3169.662
6.921861,0.2,1,-0.04293203,0,0,0.4,44.5742,-1612.94,3169.733
6.869953,0.2,1,-0.0363978,0,0,0.4,44.64902,-1613.035,3169.802
6.834422,0.2,1,-0.03126938,0,0,0.4,44.71819,-1613.123,3169.865
6.817307,0.2,1,-0.0262988,0,0,0.4,44.79611,-1613.221,3169.937
6.765125,0.2,1,-0.02253469,0,0,0.4,44.86617,-1613.309,3170
6.744638,0.2,1,-0.01929328,0,0,0.4,44.93647,-1613.397,3170.064
6.708262,0.2,1,-0.01625308,0,0,0.4,45.01339,-1613.493,3170.134
6.64958,0.2,1,-0.0138634,0,0,0.4,45.08505,-1613.582,3170.199
6.629135,0.2,1,-0.01151761,0,0,0.4,45.1674,-1613.684,3170.273
6.572771,0.2,1,-0.5943276,0,0,0.4,45.23751,-1613.771,3170.336
6.553801,0.2,1,-1.954834,0,0,0.4,45.30643,-1613.855,3170.397
6.522926,0.2,1,-3.68235,0,0,0.4,45.37516,-1613.939,3170.459
6.502837,0.2,1,-5.739344,0,0,0.4,45.45189,-1614.032,3170.528
6.481877,0.2,1,-7.374826,0,0,0.4,45.5198,-1614.113,3170.59
6.475027,0.2,1,-9.184737,0,0,0.4,45.59861,-1614.207,3170.662
6.461331,0.2,1,-10.49081,0,0,0.4,45.66649,-1614.286,3170.724
6.456269,0.2,1,-11.7518,0,0,0.4,45.74267,-1614.373,3170.795
6.447105,0.2,1,-12.71178,0,0,0.4,45.81147,-1614.451,3170.86
6.442914,0.2,1,-13.62732,0,0,0.4,45.88794,-1614.536,3170.932
6.442705,0.2,1,-13.80066,0,0,0.4,45.95562,-1614.61,3170.996
6.444964,0.2,1,-11.88003,0,0,0.4,46.02445,-1614.685,3171.063
6.457291,0.2,1,-9.990481,0,0,0.4,46.10044,-1614.766,3171.135
6.44581,0.2,1,-8.554936,0,0,0.4,46.16899,-1614.839,3171.201
6.438344,0.2,1,-7.152112,0,0,0.4,46.24712,-1614.921,3171.277
6.395343,0.2,1,-6.116286,0,0,0.4,46.31601,-1614.994,3171.343
6.377341,0.2,1,-5.172254,0,0,0.4,46.38932,-1615.07,3171.413
6.32268,0.2,1,-4.431046,0,0,0.4,46.45729,-1615.141,3171.478
6.302361,0.2,1,-3.707048,0,0,0.4,46.53469,-1615.222,3171.552
6.241381,0.2,1,-3.128213,0,0,0.4,46.60854,-1615.298,3171.622
6.201577,0.2,1,-2.677249,0,0,0.4,46.67661,-1615.368,3171.686
6.18206,0.2,1,-2.239465,0,0,0.4,46.75373,-1615.447,3171.759
6.12609,0.2,1,-1.878361,0,0,0.4,46.82966,-1615.525,3171.831
6.08726,0.2,1,-1.608872,0,0,0.4,46.89711,-1615.594,3171.894
6.067469,0.2,1,-1.349729,0,0,0.4,46.97273,-1615.671,3171.964
6.011014,0.2,1,-1.134161,0,0,0.4,47.0476,-1615.747,3172.034
5.970007,0.2,1,-0.9612709,0,0,0.4,47.11896,-1615.819,3172.1
5.931623,0.2,1,-0.8204983,0,0,0.4,47.18741,-1615.888,3172.163
5.91231,0.2,1,-1.049023,0,0,0.4,47.262,-1615.963,3172.231
5.853312,0.2,1,-1.803913,0,0,0.4,47.33526,-1616.036,3172.299
5.817305,0.2,1,-2.450731,0,0,0.4,47.40963,-1616.11,3172.367
5.78453,0.2,1,-3.233946,0,0,0.4,47.48481,-1616.184,3172.436
5.754175,0.2,1,-4.037204,0,0,0.4,47.56282,-1616.26,3172.507
5.724284,0.2,1,-4.710956,0.07973858,0,0.4,47.6293,-1616.324,3172.568
5.731901,0.2158486,1,-5.855283,0.8431373,0,0.431634,47.69563,-1616.389,3172.631
5.784347,0.2341188,1,-7.281691,1,0,0.4681014,47.77193,-1616.463,3172.704
5.92488,0.2508265,1,-8.7495,1,0,0.5014502,47.84151,-1616.532,3172.772
6.041698,0.2694475,1,-10.25765,1,0,0.5386178,47.91885,-1616.608,3172.851
6.170827,0.2871322,1,-11.44751,1,0,0.5739166,47.99205,-1616.681,3172.927
6.31325,0.3031691,1,-12.35312,1,0,0.6059264,48.05821,-1616.748,3172.999
6.389574,0.3198188,1,-11.59775,1,0,0.6391594,48.12668,-1616.818,3173.075
6.53591,0.3370059,1,-9.81491,1,0,0.673465,48.1971,-1616.891,3173.156
6.77195,0.3527734,1,-8.43445,1,0,0.704937,48.26143,-1616.959,3173.232
6.875991,0.3707682,1,-7.083895,1,0,0.7408548,48.33457,-1617.039,3173.321
7.143042,0.3886072,1,-5.962739,1,0,0.7764616,48.40675,-1617.119,3173.411
7.380681,0.4044815,1,-5.125458,1,0,0.8081468,48.47069,-1617.193,3173.493
7.648131,0.4223472,1,-3.735897,1,0,0.8438067,48.54235,-1617.277,3173.587
7.88574,0.4382195,1,-1.945175,1,0,0.8754879,48.60572,-1617.354,3173.673
8.032193,0.4548183,1,1.339101,1,0,0.9086193,48.67171,-1617.437,3173.764
8.182797,0.4726495,1,5.58012,1,0,0.9442105,48.74229,-1617.528,3173.863
8.387562,0.4912375,1,10.23433,1,0,0.9813123,48.81553,-1617.627,3173.967
8.506804,0.4926638,1,13.9498,1,0,0.9853277,48.88519,-1617.723,3174.067
8.609211,0.5001529,1,16.74535,1,0,1,48.94707,-1617.812,3174.156
8.831319,0.5055771,1,19.41758,1,0,1,49.01556,-1617.912,3174.256
9.082318,0.5177279,1,20.67085,1,0,1,49.08558,-1618.017,3174.359
9.337111,0.5281481,1,19.87073,1,0,1,49.15134,-1618.119,3174.457
9.590979,0.540969,1,16.97394,1,0,1,49.21663,-1618.223,3174.555
9.849671,0.5550202,1,14.37025,1,0,1,49.28522,-1618.335,3174.659
10.10933,0.5694517,1,12.23876,1,0,1,49.35144,-1618.446,3174.761
10.38062,0.5834582,1,10.34774,1,0,1,49.42032,-1618.565,3174.869
10.63004,0.5976902,1,8.882486,1,0,1,49.48333,-1618.677,3174.97
10.91125,0.6084319,1,7.442605,1,0,1,49.55536,-1618.808,3175.088
11.16157,0.6251531,1,6.391799,1,0,1,49.61798,-1618.924,3175.193
11.40922,0.6381453,1,5.501751,1,0,1,49.67964,-1619.042,3175.298
11.68765,0.6481221,1,4.607934,1,0,1,49.75147,-1619.181,3175.424
11.94543,0.6643508,1,3.464867,1,0,1,49.81501,-1619.307,3175.537
12.20822,0.6770942,1,1.311443,1,0,1,49.87946,-1619.437,3175.655
12.45277,0.6894034,1,-2.084082,1,0,1,49.94757,-1619.576,3175.783
12.70595,0.7017603,1,-5.927532,1,0,1,50.01135,-1619.709,3175.906
12.93855,0.7127823,1,-9.98116,1,0,1,50.07559,-1619.844,3176.033
13.17216,0.7227333,1,-13.71076,1,0,1,50.1427,-1619.986,3176.17
13.42249,0.7327244,1,-16.72232,1,0,1,50.20659,-1620.123,3176.304
13.66785,0.7425815,1,-19.19628,1,0,1,50.26797,-1620.255,3176.435
13.90956,0.7524855,1,-21.53984,1,0,1,50.33554,-1620.402,3176.582
14.16797,0.7633786,1,-23.33572,1,0,1,50.39672,-1620.535,3176.718
14.43252,0.7739412,1,-24.92119,1,0,1,50.45948,-1620.673,3176.861
14.69413,0.7847514,1,-26.33533,1,0,1,50.52482,-1620.817,3177.012
14.97009,0.7962292,1,-27.53668,1,0,1,50.59008,-1620.962,3177.167
15.22688,0.807968,1,-28.47465,1,0,1,50.64997,-1621.095,3177.312
15.49704,0.8191351,1,-29.32294,1,0,1,50.71276,-1621.236,3177.466
15.77739,0.8307108,1,-30.07834,1,0,1,50.7781,-1621.383,3177.63
16.03462,0.8429355,1,-30.66112,1,0,1,50.83741,-1621.517,3177.781
16.31822,0.8544304,1,-31.27612,1,0,1,50.90992,-1621.681,3177.971
16.63273,0.867897,1,-31.84986,1,0,1,50.99116,-1621.866,3178.188
