Wheel Speed,RPM,Gear,Angle,Throttle,Braking,Clutch,Temp,X,Y
1.939853,0.2,1,-0.0003164308,0,0,0.1,50.2681,-1623.165,3194.943
1.918769,0.2,1,-0.0002682077,0,0,0.1,50.33522,-1623.136,3194.947
1.898037,0.2,1,-0.0002271091,0,0,0.1,50.40262,-1623.107,3194.951
1.878212,0.2,1,-0.0001922528,0,0,0.1,50.47004,-1623.079,3194.956
1.858407,0.2,1,-0.0001624027,0,0,0.1,50.53815,-1623.051,3194.96
1.836558,0.2,1,-0.0001375977,0,0,0.1,50.60507,-1623.023,3194.965
1.814323,0.2,1,-0.0001165348,0,0,0.1,50.67205,-1622.996,3194.969
1.792392,0.2,1,-9.85901E-05,0,0,0.1,50.73935,-1622.97,3194.974
1.770251,0.2,1,-8.342251E-05,0,0,0.1,50.80649,-1622.943,3194.978
1.747753,0.2,1,-7.06339E-05,0,0,0.1,50.87331,-1622.918,3194.983
1.724929,0.2,1,-5.963112E-05,0,0,0.1,50.94111,-1622.892,3194.987
1.70207,0.2,1,-5.04228E-05,0,0,0.1,51.00824,-1622.867,3194.992
1.678591,0.2,1,-4.264717E-05,0,0,0.1,51.0752,-1622.842,3194.997
1.655547,0.2,1,-3.607944E-05,0,0,0.1,51.14197,-1622.818,3195.001
1.62971,0.2,1,-3.034117E-05,0,0,0.1,51.21084,-1622.794,3195.006
1.605082,0.2,1,-2.565649E-05,0,0,0.1,51.27761,-1622.77,3195.01
1.579353,0.2,1,-2.170318E-05,0,0,0.1,51.34417,-1622.747,3195.015
1.554512,0.2,1,-1.834218E-05,0,0,0.1,51.41096,-1622.725,3195.02
1.529979,0.2,1,-1.539525E-05,0,0,0.1,51.48018,-1622.702,3195.025
1.505281,0.2,1,-1.299467E-05,0,0,0.1,51.54726,-1622.68,3195.029
1.479579,0.2,1,-1.097153E-05,0,0,0.1,51.61415,-1622.658,3195.034
1.454909,0.2,1,-9.279358E-06,0,0,0.1,51.68034,-1622.637,3195.039
1.430285,0.2,1,-7.812936E-06,0,0,0.1,51.74806,-1622.616,3195.043
1.405858,0.2,1,-6.599095E-06,0,0,0.1,51.81455,-1622.596,3195.048
1.380719,0.2,1,-5.569743E-06,0,0,0.1,51.88122,-1622.576,3195.052
1.356053,0.2,1,-4.700022E-06,0,0,0.1,51.94787,-1622.557,3195.057
1.33125,0.2,1,-3.973092E-06,0,0,0.1,52.01381,-1622.538,3195.061
1.306225,0.2,1,-3.345133E-06,0,0,0.1,52.0811,-1622.519,3195.066
1.281512,0.2,1,-2.828098E-06,0,0,0.1,52.14681,-1622.501,3195.07
1.257365,0.2,1,-2.379697E-06,0,0,0.1,52.21414,-1622.483,3195.074
1.23331,0.2,1,-2.006669E-06,0,0,0.1,52.28062,-1622.466,3195.078
1.206933,0.2,1,-1.694951E-06,0,0,0.1,52.34641,-1622.449,3195.082
1.180393,0.2,1,-5.420602,0,0,0.1,52.41325,-1622.432,3195.086
1.142811,0.2158922,1,-9.919271,1,0,0.131721,52.47905,-1622.415,3195.088
1.109352,0.23191,1,-13.74655,1,0,0.1636926,52.54527,-1622.398,3195.09
1.102034,0.2479747,1,-16.98224,1,0,0.1957578,52.61159,-1622.38,3195.092
1.103906,0.2638573,1,-19.67752,1,0,0.2274596,52.67707,-1622.363,3195.092
1.141096,0.2799182,1,-21.9785,1,0,0.2595174,52.74318,-1622.345,3195.092
1.183496,0.2958773,1,-23.90443,1,0,0.2913718,52.80877,-1622.326,3195.092
1.252296,0.3117755,1,-25.5222,1,0,0.3231048,52.87397,-1622.307,3195.09
1.33651,0.3279302,1,-26.90905,1,0,0.3553498,52.94007,-1622.286,3195.088
1.446237,0.3438993,1,-28.06178,1,0,0.3872242,53.00523,-1622.264,3195.086
1.577818,0.359784,1,-29.02783,1,0,0.4189302,53.06983,-1622.239,3195.083
1.728279,0.3758194,1,-29.85028,1,0,0.450937,53.1348,-1622.213,3195.08
1.898983,0.3917674,1,-30.5391,1,0,0.4827692,53.19918,-1622.184,3195.076
2.075345,0.40761,1,-31.11607,1,0,0.5143912,53.26287,-1622.153,3195.072
2.260942,0.4239155,1,-31.61754,1,0,0.5469372,53.32815,-1622.119,3195.066
2.449608,0.4398027,1,-32.0281,1,0,0.5786481,53.39148,-1622.083,3195.061
2.653417,0.4557559,1,-32.37632,1,0,0.610491,53.4548,-1622.044,3195.055
2.856322,0.4550393,1,-32.66945,1,0,0.6422362,53.51765,-1622.003,3195.048
3.061172,0.4389652,1,-32.91987,1,0,0.6743202,53.58088,-1621.959,3195.04
3.257286,0.42311,1,-33.12835,1,0,0.7059672,53.64297,-1621.913,3195.032
3.44776,0.406992,1,-33.30778,1,0,0.738139,53.70581,-1621.864,3195.023
3.632644,0.3911825,1,-33.45642,1,0,0.7696948,53.76718,-1621.814,3195.013
3.81703,0.3752281,1,-33.58361,1,0,0.7504562,53.82884,-1621.76,3195.003
3.994179,0.3873449,1,-33.69252,1,0,0.7746897,53.89091,-1621.704,3194.991
4.16903,0.3769503,1,-33.78365,1,0,0.7539006,53.95205,-1621.647,3194.979
4.341228,0.3930139,1,-33.86144,1,0,0.7859637,54.01334,-1621.587,3194.966
4.579318,0.3880239,1,-33.92669,1,0,0.7760478,54.07378,-1621.525,3194.952
4.820983,0.4041671,1,-33.98293,1,0,0.8082698,54.13486,-1621.461,3194.937
5.060012,0.3949396,1,-34.03006,1,0,0.7898792,54.19503,-1621.395,3194.921
