Wheel Speed,RPM,Gear,Angle,Throttle,Braking,Clutch,Temp,X,Y
2.966717,0.2,1,-2.57891,0,0,0.1,64.23109,-1622.293,2990.273
2.9036,0.2,1,-2.07268,0,0,0.1,64.2934,-1622.249,2990.24
2.810238,0.2,1,-1.80215,0,0,0.1,64.33476,-1622.22,2990.219
2.774803,0.2,1,-1.556062,0,0,0.1,64.37801,-1622.191,2990.196
2.729775,0.2,1,-1.310409,0,0,0.1,64.42796,-1622.157,2990.171
2.684598,0.2,1,-1.113799,0,0,0.1,64.47537,-1622.125,2990.148
2.63463,0.2,1,-0.9445903,0,0,0.1,64.52333,-1622.093,2990.125
2.589004,0.2,1,-0.80132,0,0,0.1,64.57117,-1622.062,2990.102
2.544335,0.2,1,-0.679755,0,0,0.1,64.61897,-1622.031,2990.079
2.501141,0.2,1,-0.5763941,0,0,0.1,64.66682,-1622,2990.057
2.459006,0.2,1,-0.4888009,0,0,0.1,64.71459,-1621.97,2990.035
2.417758,0.2,1,-0.4148433,0,0,0.1,64.76211,-1621.941,2990.013
2.377256,0.2,1,-0.3515154,0,0,0.1,64.81001,-1621.912,2989.992
2.33802,0.2,1,-0.2979276,0,0,0.1,64.85779,-1621.883,2989.971
2.298788,0.2,1,-0.2526936,0,0,0.1,64.90533,-1621.855,2989.951
2.259775,0.2,1,-0.2141223,0,0,0.1,64.95307,-1621.827,2989.931
2.2212,0.2,1,-0.1813103,0,0,0.1,65.00095,-1621.8,2989.911
2.182568,0.2,1,-0.1537373,0,0,0.1,65.04842,-1621.773,2989.892
2.143969,0.2,1,-0.1303058,0,0,0.1,65.09595,-1621.747,2989.873
2.105794,0.2,1,-0.1102897,0,0,0.1,65.1438,-1621.721,2989.854
2.067669,0.2,1,-0.09338312,0,0,0.1,65.1915,-1621.695,2989.836
2.029154,0.2,1,-0.07914882,0,0,0.1,65.23888,-1621.67,2989.818
1.990331,0.2,1,-0.06705007,0,0,0.1,65.28635,-1621.646,2989.8
1.951827,0.2,1,-0.05676857,0,0,0.1,65.33392,-1621.622,2989.782
1.913414,0.2,1,-0.04792067,0,0,0.1,65.38223,-1621.598,2989.765
1.874849,0.2156418,1,-0.04066923,1,0,0.1312212,65.42908,-1621.575,2989.748
1.842615,0.2314955,1,-0.03443119,1,0,0.1628652,65.47652,-1621.552,2989.73
1.841004,0.2474115,1,-0.02912913,1,0,0.1946338,65.52407,-1621.529,2989.712
1.844455,0.2633145,1,-0.02464814,1,0,0.2263762,65.5715,-1621.505,2989.695
1.861323,0.2791619,1,-0.02087104,1,0,0.2580078,65.61868,-1621.481,2989.677
1.887794,0.2949772,1,-0.01768088,1,0,0.2895752,65.66567,-1621.456,2989.658
1.924896,0.3108789,1,-0.01496547,1,0,0.3213152,65.7128,-1621.431,2989.639
1.973896,0.3267263,1,-0.01267706,1,0,0.3529466,65.75964,-1621.405,2989.62
2.036084,0.3426087,1,-0.01073651,1,0,0.3846482,65.80644,-1621.378,2989.6
2.112416,0.3584843,1,-0.009096044,1,0,0.416336,65.85307,-1621.349,2989.579
2.204916,0.3743387,1,-0.007710469,1,0,0.4479814,65.89944,-1621.319,2989.557
2.351022,0.3902588,1,-0.006533288,1,0,0.4797582,65.94581,-1621.288,2989.534
2.466065,0.4061257,1,-0.005541305,1,0,0.5114286,65.99181,-1621.254,2989.509
2.597406,0.421983,1,-0.004702412,1,0,0.5430798,66.03755,-1621.22,2989.484
2.834563,0.4378251,1,-0.003992774,1,0,0.5747008,66.08304,-1621.183,2989.457
2.992309,0.4536977,1,-0.003390433,1,0,0.6063825,66.1284,-1621.145,2989.429
3.134184,0.4695605,1,-0.002880461,1,0,0.638045,66.17349,-1621.105,2989.399
3.280868,0.4598482,1,-0.00244789,1,0,0.6697326,66.21841,-1621.064,2989.368
3.432325,0.4440444,1,-0.002082824,1,0,0.701277,66.26289,-1621.021,2989.336
3.584442,0.4280062,1,-0.001768329,1,0,0.7332894,66.30781,-1620.976,2989.302
3.731098,0.4122777,1,-0.001507104,1,0,0.7646835,66.35163,-1620.93,2989.268
3.874635,0.3963799,1,-0.001282593,1,0,0.7927597,66.39571,-1620.881,2989.232
4.01507,0.3805755,1,-0.001093089,1,0,0.761151,66.43932,-1620.832,2989.195
4.24171,0.3965304,1,-0.000930421,1,0,0.7929972,66.48312,-1620.78,2989.156
4.462199,0.3905278,1,-0.0007935671,1,0,0.7810555,66.52629,-1620.727,2989.117
4.686125,0.4064824,1,-0.0006760226,1,0,0.8129011,66.56966,-1620.672,2989.076
4.911538,0.3945397,1,-0.0005773301,1,0,0.7890794,66.61228,-1620.616,2989.034
5.135064,0.4105072,1,-5.061654,1,0,0.8209506,66.65524,-1620.558,2988.99
5.355855,0.4074755,1,-9.30675,1,0,0.8149509,66.6974,-1620.5,2988.945
5.581714,0.4202908,1,-12.96818,1,0,0.8405817,66.73983,-1620.44,2988.897
5.815098,0.4108666,1,-16.23413,1,0,0.8217332,66.78406,-1620.376,2988.845
6.053144,0.426768,1,-18.86649,1,0,0.8534726,66.82605,-1620.316,2988.793
6.289646,0.4221765,1,-21.09663,1,0,0.844353,66.86759,-1620.254,2988.74
6.528036,0.4370467,1,-23.01637,1,0,0.8740934,66.90929,-1620.192,2988.685
6.765804,0.4276229,1,-24.64984,1,0,0.8552458,66.95071,-1620.13,2988.628
7.003294,0.4434872,1,-26.04277,1,0,0.886911,66.9919,-1620.068,2988.569
7.252052,0.4386978,1,-22.11214,1,0,0.8773957,67.03487,-1620.002,2988.505
7.48992,0.4545875,1,-18.92762,1,0,0.9091115,67.07578,-1619.938,2988.442
7.72602,0.4529834,1,-16.22826,1,0,0.9059668,67.11616,-1619.873,2988.377
7.963608,0.4673774,1,-13.90529,1,0,0.9347548,67.15657,-1619.807,2988.309
