Wheel Speed,RPM,Gear,Angle,Throttle,Braking,Clutch,Temp,X,Y
5.34395,0.2,1,0.005934274,0,0,0.4,42.9138,-1600.924,3164.508
5.323305,0.2,1,0.004872184,0,0,0.4,43.00448,-1600.878,3164.414
5.288271,0.2,1,0.004259004,0,0,0.4,43.06813,-1600.845,3164.348
5.274054,0.2,1,0.003709588,0,0,0.4,43.1333,-1600.812,3164.281
5.257875,0.2,1,0.003152687,0,0,0.4,43.20906,-1600.774,3164.204
5.240968,0.2,1,0.002613732,0,0,0.4,43.2952,-1600.73,3164.116
5.209082,0.2,1,0.002292031,0,0,0.4,43.35711,-1600.699,3164.053
5.197041,0.2,1,0.001954425,0,0,0.4,43.43112,-1600.661,3163.978
5.179401,0.2,1,0.00166826,0,0,0.4,43.50459,-1600.624,3163.904
5.158934,0.2,1,0.001286477,0,0,0.4,43.61926,-1600.567,3163.789
5.122199,0.2,1,0.001134193,0,0,0.4,43.67845,-1600.537,3163.729
5.105731,0.2,1,0.001006024,0,0,0.4,43.73489,-1600.509,3163.673
5.088702,0.2,1,0.0008635328,0,0,0.4,43.80555,-1600.474,3163.603
5.072548,0.2,1,0.0007394891,0,0,0.4,43.87713,-1600.438,3163.532
5.051106,0.2,1,0.0006316177,0,0,0.4,43.94971,-1600.402,3163.46
5.041309,0.2,1,0.0005408103,0,0,0.4,44.02116,-1600.367,3163.389
5.032446,0.2,1,0.0004478367,0,0,0.4,44.10647,-1600.326,3163.305
5.026378,0.2,1,0.0003948171,0,0,0.4,44.16513,-1600.297,3163.247
5.0225,0.2,1,0.0003370431,0,0,0.4,44.23755,-1600.262,3163.176
5.014997,0.2,1,0.0002884195,0,0,0.4,44.30885,-1600.228,3163.106
4.999667,0.2,1,0.0002462003,0,0,0.4,44.3811,-1600.194,3163.035
4.982356,0.2157476,1,0.0002106803,1,0,0.4314324,44.45221,-1600.159,3162.965
5.026033,0.2317469,1,0.0001798317,1,0,0.463367,44.5243,-1600.124,3162.893
5.128827,0.2474809,1,0.0001539697,1,0,0.4947722,44.595,-1600.089,3162.82
5.231993,0.2634511,1,0.0001315279,1,0,0.5266488,44.66657,-1600.053,3162.745
5.337945,0.2791978,1,0.0001126569,1,0,0.5580794,44.73694,-1600.016,3162.67
5.45032,0.2951931,1,4.989968,1,0,0.5900062,44.8082,-1599.978,3162.592
5.568601,0.3109524,1,9.182758,1,0,0.6214618,44.87818,-1599.938,3162.515
5.807969,0.3269422,1,12.82191,1,0,0.6533776,44.94897,-1599.896,3162.436
5.962754,0.3426977,1,15.88281,1,0,0.6848256,45.01851,-1599.853,3162.357
