Wheel Speed,RPM,Gear,Angle,Throttle,Braking,Clutch,Temp,X,Y
2.929577,0.2,1,-1.32758E-08,0,0,0.1,84.30113,-1580.754,2967.112
2.912502,0.2,1,-1.108584E-08,0,0,0.1,84.32424,-1580.747,2967.161
2.885943,0.2,1,-9.44878E-09,0,0,0.1,84.34492,-1580.742,2967.204
2.874886,0.2,1,-8.004763E-09,0,0,0.1,84.3663,-1580.736,2967.248
2.851476,0.2,1,-6.791083E-09,0,0,0.1,84.38751,-1580.731,2967.292
2.823575,0.2,1,-5.751231E-09,0,0,0.1,84.40893,-1580.726,2967.336
2.796014,0.2,1,-4.879296E-09,0,0,0.1,84.43013,-1580.721,2967.378
2.771863,0.2,1,-4.139689E-09,0,0,0.1,84.45131,-1580.716,2967.421
2.746917,0.2,1,-3.505293E-09,0,0,0.1,84.47272,-1580.711,2967.463
2.721298,0.2,1,-2.973193E-09,0,0,0.1,84.49392,-1580.707,2967.505
2.694871,0.2,1,-2.499902E-09,0,0,0.1,84.51614,-1580.703,2967.548
2.668839,0.2,1,-2.125081E-09,0,0,0.1,84.53707,-1580.699,2967.589
2.643954,0.2,1,-1.797479E-09,0,0,0.1,84.55858,-1580.695,2967.63
2.620703,0.2,1,-1.522699E-09,0,0,0.1,84.5799,-1580.691,2967.67
2.596763,0.2,1,-1.292813E-09,0,0,0.1,84.60095,-1580.687,2967.709
2.572925,0.2,1,-1.094815E-09,0,0,0.1,84.6223,-1580.683,2967.749
2.54934,0.2,1,-9.292725E-10,0,0,0.1,84.64336,-1580.68,2967.788
2.525183,0.2,1,-7.893078E-10,0,0,0.1,84.66434,-1580.676,2967.826
2.489904,0.2,1,-6.682601E-10,0,0,0.1,84.68571,-1580.673,2967.864
2.455332,0.2,1,-5.660973E-10,0,0,0.1,84.707,-1580.67,2967.902
2.42104,0.2,1,-4.794327E-10,0,0,0.1,84.72832,-1580.667,2967.939
2.386307,0.2,1,-4.056414E-10,0,0,0.1,84.74974,-1580.663,2967.976
2.352394,0.2,1,-3.431937E-10,0,0,0.1,84.77117,-1580.66,2968.012
2.316696,0.2,1,-2.906925E-10,0,0,0.1,84.79247,-1580.657,2968.048
2.2801,0.2160309,1,-2.459283E-10,1,0,0.1319978,84.8139,-1580.654,2968.084
2.251012,0.2320396,1,-2.081109E-10,1,0,0.1639512,84.83527,-1580.65,2968.12
2.254632,0.2481429,1,-1.759235E-10,1,0,0.1960936,84.85673,-1580.647,2968.156
2.264028,0.2641838,1,-1.488261E-10,1,0,0.2281114,84.87806,-1580.644,2968.193
2.280941,0.2800131,1,-1.262132E-10,1,0,0.2597068,84.89906,-1580.641,2968.229
2.306242,0.295883,1,-1.069967E-10,1,0,0.2913832,84.92004,-1580.638,2968.266
2.34098,0.3119441,1,-9.052072E-11,1,0,0.3234412,84.9412,-1580.634,2968.305
2.387379,0.3279566,1,-7.663607E-11,1,0,0.3554024,84.9622,-1580.631,2968.344
2.446394,0.3438785,1,-6.496048E-11,1,0,0.3871826,84.98299,-1580.628,2968.385
2.518382,0.3598896,1,-5.502155E-11,1,0,0.4191408,85.00376,-1580.625,2968.427
2.605933,0.3759574,1,-4.658718E-11,1,0,0.4512124,85.02446,-1580.621,2968.47
2.712174,0.3918854,1,-3.952176E-11,1,0,0.4830048,85.04482,-1580.617,2968.516
2.840181,0.4078674,1,5.207601,1,0,0.514905,85.06505,-1580.614,2968.564
3.022854,0.4238893,1,9.624842,1,0,0.5468848,85.08514,-1580.611,2968.615
3.199528,0.4398977,1,13.35922,1,0,0.5788376,85.10502,-1580.61,2968.667
3.374137,0.4558914,1,16.51812,1,0,0.6107612,85.12469,-1580.61,2968.722
3.555245,0.4717309,1,19.16862,1,0,0.642377,85.14398,-1580.611,2968.778
3.737422,0.4714128,1,21.4313,1,0,0.6741644,85.16321,-1580.613,2968.837
3.9182,0.4556201,1,23.33549,1,0,0.7056868,85.18211,-1580.617,2968.897
4.096585,0.4396912,1,24.96856,1,0,0.7374808,85.201,-1580.622,2968.959
4.268968,0.4237598,1,26.35585,1,0,0.76928,85.21974,-1580.628,2969.023
4.43935,0.4076944,1,27.54447,1,0,0.8013468,85.23847,-1580.636,2969.089
4.607358,0.3917082,1,28.54822,1,0,0.7834163,85.25695,-1580.644,2969.157
4.77857,0.401613,1,29.40174,1,0,0.803226,85.27528,-1580.655,2969.227
4.952257,0.3946943,1,30.12423,1,0,0.7893887,85.29336,-1580.666,2969.298
5.129002,0.4107846,1,25.13392,1,0,0.8215691,85.31351,-1580.68,2969.38
5.336685,0.4057483,1,21.92227,1,0,0.8114966,85.32893,-1580.692,2969.446
5.51423,0.4151153,1,18.65548,1,0,0.8302307,85.34677,-1580.707,2969.525
5.688453,0.4111112,1,15.95945,1,0,0.8222225,85.36391,-1580.722,2969.604
5.88296,0.4246048,1,13.54867,1,0,0.8492097,85.38168,-1580.739,2969.689
6.075976,0.4159262,1,11.5597,1,0,0.8318525,85.39877,-1580.756,2969.774
6.31633,0.4319819,1,9.872237,1,0,0.8638997,85.4156,-1580.773,2969.861
6.556444,0.429552,1,8.436478,1,0,0.8591039,85.43221,-1580.79,2969.95
6.806608,0.4428969,1,7.161648,1,0,0.8857939,85.44929,-1580.808,2970.044
7.048836,0.4402443,1,6.116722,1,0,0.8804887,85.46561,-1580.827,2970.139
7.289257,0.4527538,1,5.233312,1,0,0.9055076,85.48161,-1580.845,2970.235
7.525986,0.4492453,1,4.491025,1,0,0.8984907,85.49717,-1580.863,2970.331
7.767058,0.4637089,1,3.843986,1,0,0.9274179,85.51282,-1580.882,2970.432
8.004168,0.4583067,1,3.300688,1,0,0.9166133,85.52802,-1580.901,2970.533
8.246829,0.4745164,1,2.824484,1,0,0.9489682,85.54337,-1580.921,2970.638
8.484129,0.4682945,1,-2.399381,1,0,0.9365889,85.5582,-1580.94,2970.744
8.724977,0.4841329,1,-6.943835,1,0,0.9682659,85.57306,-1580.959,2970.853
8.963626,0.4764339,1,-10.79632,1,0,0.9528677,85.58761,-1580.978,2970.963
9.204215,0.4919636,1,-14.12579,1,0,0.9839272,85.6021,-1580.997,2971.075
9.441536,0.4918463,1,-16.93875,1,0,0.9836926,85.61625,-1581.015,2971.188
9.683284,0.4994139,1,-19.39958,1,0,0.9988278,85.6305,-1581.033,2971.305
9.921464,0.5072095,1,-21.47621,1,0,1,85.64439,-1581.051,2971.422
10.15914,0.5207086,1,-23.25609,1,0,1,85.65811,-1581.068,2971.541
10.40117,0.5296062,1,-24.81396,1,0,1,85.67194,-1581.085,2971.663
10.64441,0.5388799,1,-21.3031,1,0,1,85.68568,-1581.102,2971.788
10.88138,0.5530611,1,-18.37281,1,0,1,85.69891,-1581.118,2971.912
11.11844,0.566323,1,-15.85044,1,0,1,85.71199,-1581.133,2972.037
11.35562,0.5791404,1,-13.67859,1,0,1,85.72491,-1581.148,2972.166
11.59475,0.5917673,1,-11.79381,1,0,1,85.73775,-1581.162,2972.297
11.8369,0.6043765,1,-10.1529,1,0,1,85.75054,-1581.176,2972.433
12.07654,0.6171331,1,-8.759194,1,0,1,85.76299,-1581.191,2972.57
12.31374,0.6298253,1,-7.57266,1,0,1,85.77511,-1581.205,2972.708
12.55576,0.642319,1,-6.529309,1,0,1,85.78725,-1581.219,2972.852
12.79287,0.654834,1,-5.650705,1,0,1,85.79893,-1581.234,2972.994
13.0303,0.6670719,1,-4.891544,1,0,1,85.81043,-1581.249,2973.14
13.27346,0.6786231,1,-4.220462,1,0,1,85.82201,-1581.266,2973.291
13.51069,0.6904217,1,-3.65727,1,0,1,85.83308,-1581.282,2973.441
13.74933,0.7020363,1,-3.160783,1,0,1,85.84418,-1581.299,2973.596
13.96911,0.713492,1,-2.73933,1,0,1,85.85492,-1581.317,2973.751
14.18106,0.7245351,1,-2.376208,1,0,1,85.86543,-1581.336,2973.908
14.38895,0.7360319,1,-2.062849,1,0,1,85.87571,-1581.355,2974.066
14.59721,0.7472798,1,-1.784443,1,0,1,85.88608,-1581.375,2974.231
14.81501,0.7586307,1,-1.550206,1,0,1,85.89601,-1581.395,2974.395
15.03207,0.7731139,1,-1.343568,1,0,1,85.90595,-1581.416,2974.563
15.25736,0.7837032,1,-1.167026,1,0,1,85.9156,-1581.437,2974.732
15.48286,0.7951722,1,-1.015352,1,0,1,85.92498,-1581.458,2974.901
15.70999,0.8061273,1,-0.881512,1,0,1,85.93435,-1581.48,2975.076
15.94399,0.8175388,1,-0.7662742,1,0,1,85.94347,-1581.502,2975.252
16.17956,0.8288338,1,-0.6671576,1,0,1,85.95233,-1581.524,2975.429
16.41465,0.8407695,1,-0.5802043,1,0,1,85.9611,-1581.547,2975.61
16.65396,0.8510719,1,-0.5049062,1,0,1,85.96966,-1581.57,2975.794
16.88981,0.8616138,1,-0.4407958,1,0,1,85.97785,-1581.593,2975.977
17.13173,0.8778051,1,-0.3834678,1,0,1,85.98606,-1581.617,2976.168
17.36901,0.8934495,1,-0.3348183,1,0,1,85.99387,-1581.64,2976.358
17.61007,0.9056613,1,-0.2918132,1,0,1,86.00159,-1581.664,2976.553
17.84767,0.9179884,1,-0.2549996,1,0,1,86.009,-1581.688,2976.748
17.90765,0.9274635,1,-0.2229268,1,0,1,86.0162,-1581.712,2976.946
17.90869,0.9359558,1,-0.1942999,1,0,1,86.02338,-1581.737,2977.15
17.90953,0.9444139,1,-0.1700372,1,0,1,86.0302,-1581.761,2977.352
17.91024,0.9528006,1,-0.1485257,1,0,1,86.03693,-1581.786,2977.56
17.91081,0.9610669,1,-0.1299332,1,0,1,86.04343,-1581.811,2977.769
17.91137,0.9657124,1,-0.1139044,1,0,1,86.04966,-1581.835,2977.977
17.91138,0.9701723,1,-0.09982771,1,0,1,86.05573,-1581.859,2978.189
17.91107,0.9543385,1,-0.0875781,0,0,0.1,86.06158,-1581.881,2978.4
17.66638,0.9379938,2,-0.07647897,0,0,0.1326242,86.06763,-1581.902,2978.617
17.42715,0.922013,2,-0.06699728,0,0,0.164522,86.07357,-1581.921,2978.83
17.18933,0.9061263,2,-0.05873584,0,0,0.196232,86.07949,-1581.939,2979.04
16.94768,0.8899844,2,-0.05137319,0,0,0.2284512,86.08553,-1581.956,2979.254
16.70331,0.8736606,2,-0.04485773,0,0,0.2610336,86.09164,-1581.972,2979.47
16.46341,0.8576353,2,-0.03926975,0,0,0.2930204,86.09767,-1581.987,2979.681
16.22494,0.8417054,2,-0.03440456,0,0,0.3248166,86.10368,-1582.002,2979.891
15.98242,0.8255048,2,-0.03006752,0,0,0.357153,86.10981,-1582.015,2980.104
15.74154,0.8094143,2,-0.02630101,0,0,0.3892698,86.11592,-1582.028,2980.315
15.50078,0.7933315,2,-0.02300618,0,0,0.4213712,86.12205,-1582.041,2980.526
15.26751,0.7777493,2,-0.02021229,0,0,0.4524734,86.128,-1582.052,2980.729
15.02933,0.7618389,2,-0.01770464,0,0,0.4842308,86.13409,-1582.064,2980.937
14.79059,0.7458906,2,-0.01550167,0,0,0.5160636,86.14023,-1582.074,2981.145
14.55317,0.7300314,2,-0.01358251,0,0,0.5477188,86.14635,-1582.085,2981.351
14.31017,0.7137988,2,-0.0118604,0,0,0.5801193,86.15265,-1582.095,2981.562
14.07164,0.6978651,2,-0.0103835,1,0,0.6119229,86.15885,-1582.105,2981.77
13.8354,0.6820838,2,-0.009106352,1,0,0.6434225,86.16483,-1582.115,2981.979
13.59757,0.6661968,2,-0.0079818,1,0,0.6751333,86.17069,-1582.124,2982.191
13.83705,0.6501992,2,-0.006991875,1,0,0.7070645,86.17643,-1582.134,2982.407
