Wheel Speed,RPM,Gear,Angle,Throttle,Braking,Clutch,Temp,X,Y
4.793915,0.2425411,1,0,0,0,0.4850823,40.04924,-1582.217,2954.835
4.772518,0.2260827,1,0,0,0,0.4521654,40.12968,-1582.216,2954.757
4.751291,0.2106799,1,0,0,0,0.4213597,40.20487,-1582.215,2954.685
4.729478,0.2,1,0,0,0,0.4,40.37784,-1582.213,2954.519
4.686184,0.2,1,0,0,0,0.4,40.44074,-1582.212,2954.458
4.663113,0.2,1,0,0,0,0.4,40.50803,-1582.212,2954.395
4.646806,0.2,1,0,0,0,0.4,40.58617,-1582.211,2954.32
4.629315,0.2,1,0,0,0,0.4,40.66326,-1582.21,2954.248
4.610618,0.2,1,0,0,0,0.4,40.74063,-1582.209,2954.175
4.583808,0.2,1,0,0,0,0.4,40.81798,-1582.208,2954.102
4.557785,0.2,1,0,0,0,0.4,40.89431,-1582.207,2954.031
4.535338,0.2,1,0,0,0,0.4,40.97333,-1582.206,2953.958
4.513113,0.2,1,0,0,0,0.4,41.05042,-1582.205,2953.886
4.490125,0.2,1,0,0,0,0.4,41.12691,-1582.204,2953.816
4.467727,0.2,1,0,0,0,0.4,41.2044,-1582.203,2953.745
4.444912,0.2,1,0,0,0,0.4,41.28098,-1582.202,2953.675
4.422794,0.2159741,1,0,1,0,0.4318844,41.35783,-1582.201,2953.603
4.449883,0.231732,1,0,1,0,0.4633374,41.43347,-1582.199,2953.532
4.538276,0.2476818,1,5.046713,1,0,0.4951732,41.50985,-1582.198,2953.458
4.629637,0.263471,1,9.301486,1,0,0.5266886,41.58526,-1582.195,2953.384
4.737241,0.2795335,1,12.99491,1,0,0.5587494,41.66178,-1582.19,2953.308
4.871292,0.2954429,1,16.10784,1,0,0.5905048,41.73736,-1582.184,2953.23
5.017519,0.3115125,1,18.78825,1,0,0.6225798,41.81349,-1582.177,2953.151
5.1726,0.32746,1,21.05224,1,0,0.6544112,41.88882,-1582.168,2953.07
5.341162,0.3435073,1,22.99405,1,0,0.6864416,41.96438,-1582.158,2952.987
5.578784,0.3593805,1,24.63038,1,0,0.7181246,42.03891,-1582.146,2952.904
5.819719,0.3754749,1,26.04678,1,0,0.7502492,42.11426,-1582.132,2952.818
6.018344,0.3913709,1,27.23854,1,0,0.7819778,42.18845,-1582.117,2952.732
6.176773,0.4073707,1,28.26293,1,0,0.8139136,42.26291,-1582.101,2952.643
6.336362,0.423411,1,29.13923,1,0,0.8459302,42.33731,-1582.083,2952.553
6.500692,0.4358887,1,29.88705,1,0,0.8717774,42.41151,-1582.063,2952.461
6.669577,0.4272978,1,30.51559,1,0,0.8545955,42.48436,-1582.042,2952.37
6.842995,0.443473,1,31.06619,1,0,0.8868815,42.55868,-1582.018,2952.274
7.01698,0.4334888,1,31.52644,1,0,0.8669775,42.63131,-1581.993,2952.18
7.19275,0.449702,1,31.92927,1,0,0.8993393,42.70534,-1581.966,2952.081
7.367618,0.4414846,1,32.26718,1,0,0.8829691,42.7779,-1581.937,2951.983
7.604231,0.4572903,1,32.55381,1,0,0.9145175,42.8496,-1581.907,2951.885
7.841125,0.4514418,1,32.7998,1,0,0.9028836,42.92115,-1581.874,2951.785
