Wheel Speed,RPM,Gear,Angle,Throttle,Braking,Clutch,Temp,X,Y
3.288678,0.2,0,-5.168617E-18,0,0,0.1,49.30855,-1587.778,3007.657
3.261106,0.2,0,-4.229184E-18,0,0,0.1,49.38605,-1587.779,3007.715
3.217049,0.2,0,-3.639263E-18,0,0,0.1,49.44547,-1587.78,3007.76
3.201176,0.2,0,-3.058663E-18,0,0,0.1,49.51337,-1587.78,3007.81
3.17697,0.2,0,-2.57711E-18,0,0,0.1,49.58033,-1587.781,3007.859
3.149363,0.2,0,-2.159533E-18,0,0,0.1,49.64918,-1587.781,3007.909
3.122074,0.2,0,-1.814217E-18,0,0,0.1,49.71706,-1587.782,3007.958
3.09544,0.2,0,-1.527331E-18,0,0,0.1,49.78413,-1587.783,3008.007
3.066428,0.2,0,-1.279768E-18,0,0,0.1,49.85282,-1587.783,3008.055
3.037667,0.2,0,-1.078865E-18,0,0,0.1,49.91928,-1587.784,3008.102
3.008687,0.2,0,-9.089284E-19,0,0,0.1,49.98592,-1587.784,3008.149
2.982596,0.2,0,-7.648414E-19,0,0,0.1,50.05292,-1587.785,3008.195
2.956375,0.2,0,-6.402678E-19,0,0,0.1,50.1217,-1587.786,3008.243
2.930708,0.2,0,-5.395953E-19,0,0,0.1,50.18804,-1587.787,3008.288
2.904116,0.2,0,-4.541947E-19,0,0,0.1,50.25475,-1587.787,3008.333
2.879172,0.2,0,-3.821521E-19,0,0,0.1,50.32156,-1587.788,3008.378
2.852134,0.2,0,-3.217919E-19,0,0,0.1,50.38802,-1587.789,3008.422
2.824924,0.2,0,-2.707194E-19,0,0,0.1,50.45475,-1587.79,3008.466
2.796299,0.2,0,-2.279506E-19,0,0,0.1,50.52111,-1587.79,3008.509
2.766794,0.2,0,-1.919344E-19,0,0,0.1,50.58742,-1587.791,3008.552
2.737591,0.2,0,-1.6147E-19,0,0,0.1,50.65398,-1587.792,3008.595
2.708741,0.2,0,-1.355856E-19,0,0,0.1,50.72113,-1587.792,3008.638
2.680467,0.2,0,-1.142349E-19,0,0,0.1,50.78704,-1587.793,3008.679
2.652356,0.2,0,-9.582879E-20,0,0,0.1,50.85443,-1587.794,3008.721
2.625118,0.2,0,-8.049638E-20,0,0,0.1,50.92128,-1587.795,3008.762
2.599121,0.2,0,-6.775807E-20,0,0,0.1,50.98734,-1587.796,3008.803
2.573879,0.2,0,-5.684394E-20,0,0,0.1,51.05452,-1587.797,3008.844
2.548566,0.2,0,-4.775516E-20,0,1,0.131978,51.12114,-1587.797,3008.881
2.460621,0.2,0,-4.022618E-20,0,1,0.1635096,51.18699,-1587.798,3008.914
2.227771,0.2,0,-3.385371E-20,0,1,0.1951928,51.2533,-1587.799,3008.944
2.016694,0.2,0,-2.8471E-20,0,1,0.2269926,51.32001,-1587.799,3008.971
1.80833,0.2,0,-2.398517E-20,0,1,0.2585042,51.38626,-1587.799,3008.994
1.604837,0.2,0,-2.012284E-20,0,1,0.2907102,51.4541,-1587.798,3009.015
1.4157,0.2,0,-1.691528E-20,0,1,0.32259,51.5214,-1587.797,3009.032
